ID,Cohort,Age,Acert,Year,Capture,Exclude,Treatment,Mass,Leg,Teeth,Repro,Parturition,PYsex,PYid,SurvLPY,SurvWN,PYLastObs,PYFound,Dead,HRDead,CaptDay,AgeC,CohortStart,CohortDay,Cond,PCond,PMass,mGain,Eff,PEff,DaysObs,xMed,indVeg7,indDens7,indWin7,indVeg21,indDens21,indWin21,mLeg,mMass,mMGain,mCond,nFem,nka,nSA,nPrime,PropPrime,Ratio,PRatio
1079,2017,5,1,2022,2022-10-08,0,0,29.75,545,4,1,2022-01-04,2,1365,1,1,NA,NA,NA,NA,281,3,2021-08-01,157,0.52650715701099,NA,NA,NA,3,3,NA,NA,151.04603599916288,2.5205147540983606,33,271.98923703147716,2.314697676767677,76,527.6341463414634,26.993827160493826,1.249074074074074,0.11155473367358151,98,75,51,41,0.5466666666666666,0.5204081632653061,0.2692307692307692
1079,2017,6,1,2023,2023-09-06,0,0,28.75,548,3,1,2023-01-27,2,1408,1,1,NA,NA,NA,NA,249,3,2022-08-01,180,-0.019578796096836923,0.52650715701099,29.75,-1,3,3,NA,NA,163.10505428948096,2.115072131147541,41,292.1017599686381,2.499093198992443,52,523.2471910112359,26.03370786516854,0.9941860465116279,-0.11745200079661877,109,86,30,51,0.5930232558139535,0.27522935779816515,0.5204081632653061
1079,2017,7,1,2024,2024-10-11,0,0,30.5,549,3,1,2024-01-29,1,1463,1,2,NA,NA,NA,NA,285,4,2023-08-01,182,0.6417955692203599,NA,NA,NA,2,3,NA,NA,154.71827003105764,2.2795661224489794,27,NA,2.546994117647059,8,515.5121951219512,25.682926829268293,1.4038461538461537,0.10466102027792984,107,91,0,64,0.7032967032967034,0,0.27522935779816515
1081,NA,NA,0,2018,2018-11-13,0,0,32.5,541,3,1,2018-04-03,2,1159,1,0,2018-11-30,02-2019,NA,NA,317,NA,2017-08-01,246,1.7678146099354344,2.4820751764489044,34.5,-2,2,NA,47,38196,159.13376038118219,2.5114211382113822,53,291.15638595173505,1.9771035264483627,71,531.8,26.651234567901234,0.3769230769230769,-0.2334322330272324,108,67,24,41,0.6119402985074627,0.2222222222222222,0.17557251908396945
1081,NA,NA,0,2019,2019-08-25,0,0,31.5,548,3,1,2019-03-06,2,1177,1,2,NA,NA,NA,NA,237,NA,2018-08-01,218,1.0732456017507583,1.7678146099354344,32.5,-1,2,2,49,38215,192.12004725729153,1.9576835390946503,51,300.3222230907064,2.444308524590164,65,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
1081,NA,NA,0,2020,NA,0,NA,NA,NA,NA,1,NA,NA,NA,0,0,2020-03-31,11-2020,NA,NA,NA,NA,2019-08-01,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
1081,NA,NA,0,2021,2021-11-22,0,0,33.25,553,NA,1,NA,NA,NA,0,0,2021-03-31,08-2021,NA,NA,326,NA,2020-08-01,NA,1.4935223182330075,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,527.4727272727273,26.436363636363637,0.6214285714285714,-0.11304735936777774,104,75,28,39,0.52,0.2692307692307692,0.3055555555555556
1081,NA,NA,0,2022,2022-11-04,0,0,34.5,541,3,1,NA,1,1331,0,0,2022-08-31,08-2022,NA,NA,308,NA,2021-08-01,NA,2.4820751764489044,1.4935223182330075,33.25,1.25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,527.6341463414634,26.993827160493826,1.249074074074074,0.11155473367358151,98,75,51,41,0.5466666666666666,0.5204081632653061,0.2692307692307692
1081,NA,NA,0,2023,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2022-08-01,NA,NA,1.0732456017507583,31.5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,523.2471910112359,26.03370786516854,0.9941860465116279,-0.11745200079661877,109,86,30,51,0.5930232558139535,0.27522935779816515,0.5204081632653061
1087,2016,3,1,2019,NA,0,0,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,2018-08-01,NA,NA,NA,NA,NA,2,NA,42,38246,NA,NA,NA,NA,NA,NA,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
